cpu_model,os_release,aces_version,ocio_version,file_count,mean_avg_time,std_avg_time,median_avg_time,total_operations,files
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,r7,ACES 2.0,2.4.1,1,2432.2951357059997,,1.8052238323333332,27,['OCIO_2.4_ACES_tests_r7_rga001.txt']
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,r7,ACES 2.0,2.4.2,1,2166.078791756889,,2.710157341,27,['OCIO_2.4_ACES_tests_r7_rga001.txt']
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,r9,ACES 1.0,2.4.1,1,229.61892286295654,,0.3125713333333333,23,['OCIO_2.4_ACES_tests_r9_sys2976.txt']
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,r9,ACES 1.0,2.4.2,1,230.92958721320286,,0.4610236666666666,23,['OCIO_2.4_ACES_tests_r9_sys2976.txt']
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,r9,ACES 2.0,2.4.1,1,916.1553311753888,,1.5596550808333332,24,['OCIO_2.4_ACES_tests_r9_sys2976.txt']
Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,r9,ACES 2.0,2.4.2,1,711.0990255759467,,1.7068657499999995,25,['OCIO_2.4_ACES_tests_r9_sys2976.txt']
Intel(R) Xeon(R) w5-2465X,r7,ACES 1.0,2.4.1,1,211.21038130301235,,0.3131473333333333,27,['OCIO_2.4_ACES_tests_r7_sys3498.txt']
Intel(R) Xeon(R) w5-2465X,r7,ACES 1.0,2.4.2,1,213.9416456965679,,0.4513853333333333,27,['OCIO_2.4_ACES_tests_r7_sys3498.txt']
Intel(R) Xeon(R) w5-2465X,r7,ACES 2.0,2.4.1,1,2357.2530180937165,,1.9059369103333332,27,['OCIO_2.4_ACES_tests_r7_sys3498.txt']
Intel(R) Xeon(R) w5-2465X,r7,ACES 2.0,2.4.2,1,2012.2239955236914,,2.5475115876666665,27,['OCIO_2.4_ACES_tests_r7_sys3498.txt']
Intel(R) Xeon(R) w7-2495X,r9,ACES 1.0,2.4.1,1,153.00707678661112,,0.38117216666666665,24,['OCIO_2.4_ACES_tests_r9_sys3495.txt']
Intel(R) Xeon(R) w7-2495X,r9,ACES 1.0,2.4.2,1,154.53745910450002,,0.38111216666666664,24,['OCIO_2.4_ACES_tests_r9_sys3495.txt']
Intel(R) Xeon(R) w7-2495X,r9,ACES 2.0,2.4.1,1,993.0722715833001,,1.5777379599999999,20,['OCIO_2.4_ACES_tests_r9_sys3495.txt']
Intel(R) Xeon(R) w7-2495X,r9,ACES 2.0,2.4.2,1,632.1525851470138,,2.03752175,24,['OCIO_2.4_ACES_tests_r9_sys3495.txt']
