file_name,os_release,cpu_model,ocio_version,aces_version,config_version,total_operations,unique_operations,mean_min_time,mean_max_time,mean_avg_time,std_avg_time,median_avg_time,total_iterations,mean_iterations,"Create the (display, view) processor_mean_time","Create the (display, view) processor_std_time","Create the (display, view) processor_count",Create the CPU processor_mean_time,Create the CPU processor_std_time,Create the CPU processor_count,Create the GPU processor_mean_time,Create the GPU processor_std_time,Create the GPU processor_count,Create the GPU shader_mean_time,Create the GPU shader_std_time,Create the GPU shader_count,Create the config identifier_mean_time,Create the config identifier_std_time,Create the config identifier_count,Create the context identifier_mean_time,Create the context identifier_std_time,Create the context identifier_count,Create the optimized processor_mean_time,Create the optimized processor_std_time,Create the optimized processor_count,Process the complete image (in place)_mean_time,Process the complete image (in place)_std_time,Process the complete image (in place)_count,Process the complete image (two buffers)_mean_time,Process the complete image (two buffers)_std_time,Process the complete image (two buffers)_count
OCIO_2.4_ACES_tests_r7.txt,r7,Unknown,2.4.1,ACES 1.0,2.4,27,9,383.6051071094814,385.5573765555556,384.4192972562469,731.7632289088147,0.375143,270,10.0,0.4551155555555555,0.14693673782214853,3.0,0.055555091222222165,0.01622122718812629,3.0,0.047516391444444396,0.015213909953835253,3.0,0.6362387777777777,0.21169920556307487,3.0,2.9030251186666667,1.0414012562973152,3.0,0.0005343037777777666,0.00015065153827229638,3.0,0.023467845555555533,0.006557285814552853,3.0,1725.6522222222222,5.522554092420145,3.0,1730.0,1.8821648292443365,3.0
OCIO_2.4_ACES_tests_r7.txt,r7,Unknown,2.4.1,ACES 2.0,2.4,27,9,3381.889575149296,3390.249404925926,3385.2901548905065,6445.361410428658,4.087913290333334,270,10.0,0.44058400000000003,0.07321663618407448,3.0,6.083124073555556,0.008113008863196783,3.0,0.03235678911111107,0.011459179094343075,3.0,21.16241111111111,1.864977442917905,3.0,3.791889683444444,0.6088002365548933,3.0,0.0006608173333332667,9.931333553344431e-05,3.0,0.0225897622222222,0.003405216688569852,3.0,15224.144444444444,10.078708765033014,3.0,15211.933333333334,18.8761165968468,3.0
OCIO_2.4_ACES_tests_r7.txt,r7,Unknown,2.4.2,ACES 1.0,2.4,27,9,382.92501540822224,385.94628592592596,384.14578980891355,731.0885411264003,0.368003,270,10.0,0.6331607777777778,0.47023890349213077,3.0,0.06292599211111106,0.024348644753235404,3.0,0.058394035777777735,0.02988066169185624,3.0,0.691306,0.2825039455252499,3.0,3.216373866777778,1.5841585580424853,3.0,0.0005687074444444333,0.00022308992069025447,3.0,0.02382334477777777,0.011435683251629003,3.0,1725.4077777777777,3.843832481800896,3.0,1727.2177777777779,6.27998083271429,3.0
OCIO_2.4_ACES_tests_r7.txt,r7,Unknown,2.4.2,ACES 2.0,2.4,27,9,2935.800515084926,2955.109559185185,2944.2153140344813,5602.807593037968,4.611817480333333,270,10.0,0.4281675555555556,0.12153418520927142,3.0,7.793439151444445,0.2662701452055875,3.0,0.031803965444444394,0.00846405569115767,3.0,26.335155555555556,3.9185690189054894,3.0,3.9953568932222225,1.3179667857307777,3.0,0.0006572211111111,0.00016367287494687788,3.0,0.019912634666666634,0.005104512995114843,3.0,13228.422222222222,171.3401630718298,3.0,13230.91111111111,97.79713886597378,3.0
OCIO_2.4_ACES_tests_r7_rga001.txt,r7,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2.4.1,ACES 1.0,2.4,27,9,263.22297373366666,264.1585555555556,263.60108213220985,501.84466998090136,0.2617343333333333,270,10.0,0.2610587777777777,0.011195630171005373,3.0,0.030922408222222197,0.0008246638740673284,3.0,0.02645804344444443,0.0007757934097042915,3.0,0.3507924444444444,0.00689966042911081,3.0,1.9106916578888888,0.17885893654471932,3.0,0.00045675055555553334,3.6787961461337234e-05,3.0,0.014914663111111101,0.0011008110330968095,3.0,1183.9766666666667,7.138539377522965,3.0,1185.8377777777778,2.20855994644403,3.0
OCIO_2.4_ACES_tests_r7_rga001.txt,r7,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2.4.1,ACES 2.0,2.4,27,9,2431.1073626513335,2434.0642534444437,2432.2951357059997,4632.058453722141,1.8052238323333332,270,10.0,0.21680588888888885,0.00790834702726829,3.0,4.230095188333333,0.009218685297037088,3.0,0.012259074222222166,0.0009133266097941148,3.0,12.165322222222223,0.032233528667682775,3.0,1.8530961606666665,0.08755853919721289,3.0,0.0004547666666666333,4.320614459001555e-05,3.0,0.011521386333333333,0.0010321920802991722,3.0,10931.022222222222,9.837362639634568,3.0,10941.144444444442,13.153213943255986,3.0
OCIO_2.4_ACES_tests_r7_rga001.txt,r7,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2.4.2,ACES 1.0,2.4,27,9,262.7599774515185,264.0531036296296,263.2431360727284,500.9940207635116,0.2908436666666666,270,10.0,0.5758937777777778,0.5130303066909112,3.0,0.034187012444444366,0.005757725816111133,3.0,0.033784162999999964,0.004250222497682012,3.0,0.39600233333333335,0.04722682777946359,3.0,2.1484285025555554,0.6083680209975165,3.0,0.0005278543333332666,8.153519529288733e-05,3.0,0.016067677777777734,0.0022687416922381495,3.0,1180.9511111111112,2.8525316890504224,3.0,1185.0322222222221,2.673521051874368,3.0
OCIO_2.4_ACES_tests_r7_rga001.txt,r7,Intel(R) Xeon(R) W-2295 CPU @ 3.00GHz,2.4.2,ACES 2.0,2.4,27,9,2164.4093322447407,2168.3643574074076,2166.078791756889,4122.665852720519,2.710157341,270,10.0,0.30210066666666663,0.020323059390751196,3.0,5.678556380444444,0.005339539345589326,3.0,0.0205491085555555,0.0010341262756786659,3.0,16.624666666666666,0.15697204634371542,3.0,2.768667588333333,0.17122170088503444,3.0,0.0006369987777777333,0.00011119627765665309,3.0,0.013948402555555533,0.0015819985116668732,3.0,9731.574444444444,39.03699347105579,3.0,9737.725555555558,34.838979180946005,3.0
OCIO_2.4_ACES_tests_r7_sys2000.txt,r7,Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,2.4.1,ACES 1.0,2.4,27,9,360.82283897755553,367.5826301851852,364.1866883036296,693.4006414322442,0.362834,270,10.0,0.4562051111111111,0.1835722254873279,3.0,0.0557455063333333,0.020960348409655792,3.0,0.0492659664444444,0.015941323227419407,3.0,0.6226613333333334,0.2266310922367989,3.0,2.8874512657777776,1.1535004727161409,3.0,0.0005574777777777334,0.00023551646984316938,3.0,0.026085849666666633,0.008840054184926583,3.0,1630.351111111111,23.482705771915885,3.0,1643.2311111111112,55.16320445664769,3.0
OCIO_2.4_ACES_tests_r7_sys2000.txt,r7,Intel(R) Xeon(R) CPU E5-2687W v3 @ 3.10GHz,2.4.1,ACES 2.0,2.4,27,9,3199.8662264913705,3227.0986388148153,3211.3394677353954,6115.192621468193,2.193021888,270,10.0,0.34766199999999997,0.13998223920951947,3.0,5.660962072777778,0.40494209979095636,3.0,0.022763514999999998,0.010656062510433953,3.0,18.061133333333334,4.050505538955737,3.0,2.9311316234444447,1.291815443995955,3.0,0.0005767963333333,0.00022696394225686742,3.0,0.0198691665555555,0.008196123559223409,3.0,14391.622222222222,95.15919604847552,3.0,14483.38888888889,152.89355895645264,3.0
